No,Project,Project ID,Source Filename,Source Dimensions,Prompt Filename,Recommended Output Ratio,Recommended Output Size
1,Showroom — M42,showroom-musaffah-m42,NONE,—,SHOWROOM-MUSAFFAH-M42__PROMPT.txt,3:2,2400×1600
2,Industrial Facility — M42,industrial-facility-musaffah-m42,NONE,—,INDUSTRIAL-FACILITY-MUSAFFAH-M42__PROMPT.txt,3:2,2400×1600
3,Industrial Facility — M15,industrial-facility-musaffah-m15,NONE,—,INDUSTRIAL-FACILITY-MUSAFFAH-M15__PROMPT.txt,3:2,2400×1600
4,American International School,american-international-school,NONE,—,AMERICAN-INTERNATIONAL-SCHOOL__PROMPT.txt,3:2,2400×1600
5,Private Villa — Z14,private-villa-mbz-z14,NONE,—,PRIVATE-VILLA-MBZ-Z14__PROMPT.txt,3:2,2400×1600
